AIRLINE,IATA_CODE,COUNTRY,ACTIVE
Aero Flight Service,,United States,N
Agrolet-Mci,,Slovakia,N
Air Alpha Greenland,GD,Denmark,N
Azal Avia Cargo,,Azerbaijan,N
Airport Helicopter Basel,,AIRPORT HELICOPTER,N
Aeroservices Corporate,,France,N
Aspen Helicopters,,United States,N
Aerochago Airlines,,Dominican Republic,N
Airplanes Holdings,,Ireland,N
Air Hong Kong,LD,Hong Kong,N
Aerochiapas,,Mexico,N
Air Adriatic,,Croatia,N
Air Viggi San Raffaele,,Italy,N
ABC Air Hungary,,Hungary,N
Aeromist-Kharkiv,HT,Ukraine,N
Azerbaijan Airlines,J2,Azerbaijan,Y
Avies,U3,Estonia,Y
Airbus Industrie,AP,France,N
Alpine Air Chile,,Chile,N
Air Integra,,Canada,N
ABC Aerolineas,,Mexico,N
African Airlines International Limited,,Kenya,N
African International Airways,,Swaziland,N
Alpine Air Express,5A,United States,N
Alicante Internacional Airlines,,Spain,N
Aba Air,,Czech Republic,N
Airblue,ED,Pakistan,Y
Airmark Aviation,,Thailand,N
Airlift International,,United States,Y
Airest,,Estonia,N
Air Baffin,,Canada,N
Air Bandama,,Ivory Coast,N
Air Berlin,AB,Germany,Y
Air Brousse,,Canada,N
Air Contractors,AG,Ireland,N
Air Illinois,,United States,N
Air India Limited,AI,India,Y
Air Inter Gabon,,Gabon,N
Air Bourbon,ZB,Reunion,Y
Air Atlanta Icelandic,CC,Iceland,Y
Air Inuit,,Canada,N
Air Sureste,,Spain,N
Air Srpska,RB,Bosnia and Herzegovina,N
Air Tahiti Nui,TN,France,Y
Airvias S/A Linhas Aereas,,Brazil,N
Aero Services Executive,W4,France,N
Atlantic Island Airways,,Canada,N
Aircruising Australia,,Australia,N
Aircrew Check and Training Australia,,Australia,N
Arkia Israel Airlines,IZ,Israel,Y
A J Services,,United Kingdom,N
Aero JBR,,Mexico,N
Aero Jet Express,,Mexico,N
Avia Consult Flugbetriebs,,Austria,N
Ameristar Jet Charter,,United States,N
A2 Jet Leasing,,United States,N
Allied Air,,Nigeria,N
Air Jamaica,JM,Jamaica,Y
Air One,AP,Italy,Y
Air Sahara,S2,India,Y
Air Malta,KM,Malta,Y
Aeroejecutivo,,Mexico,N
Aero Jets Corporativos,,Mexico,N
Aeroejecutivos Colombia,,Colombia,N
Amerijet International,M6,United States,N
Air Jetsul,,Portugal,N
ANA & JP Express,,Japan,N
Alpha Jet International,,United States,N
Air Japan,NQ,Japan,Y
Ajet,,Cyprus,N
Air Korea Co. Ltd.,,Republic of Korea,Y
Air Livonia,,Estonia,N
Air BC,,Canada,N
Air Fret Senegal,,Senegal,N
Air Jamahiriya Company,,Libya,N
Aktjubavia,,Kazakhstan,N
Arca Aerovias Colombianas Ltda.,,Colombia,N
Anikay Air Company,,Kyrgyzstan,N
Akhal,,Turkmenistan,N
Aeromilenio,,Mexico,N
Aklak Air,,Canada,N
Air Kiribati,4A,Kiribati,Y
Alkan Air,,Canada,N
Angkor Airways,,Cambodia,N
Air Nippon Network Co. Ltd.,EH,Japan,N
AK Navigator LLC,,Kazakhstan,N
Aero Albatros,,Mexico,N
Albion Aviation,,United Kingdom,N
Aeroalas Colombia,,Colombia,N
Allied Command Europe (Mobile Force),,Belgium,N
Aerotaxis Albatros,,Mexico,N
American Flyers,,United States,N
Aero Coach Aviation,,United States,N
Atlantic Southeast Airlines,,United States,N
ACM Air Charter,,Germany,N
Air Logistics,,United States,N
Aerovallarta,,Mexico,N
Air ALM,,Netherlands Antilles,N
Air Lincoln,,United States,N
America West Airlines,HP,United States,Y
Air Wisconsin,ZW,United States,Y
Aerotransporte de Carga Union,,Mexico,N
Aero Taxis Cessna,,Mexico,N
Arizona Express Airlines,,United States,N
Tatarstan Airlines,U9,Russia,Y
Allegheny Commuter Airlines,,United States,Y
Alpliner AG,,Switzerland,N
Altair Aviation (1986),,Canada,N
Air Luxor STP,,Sao Tome and Principe,N
Alas de Venezuela,,Venezuela,N
Alas Nacionales,,ALNACIONAL,N
Alyeska Air Service,,United States,N
Alta Flights (Charters) Ltd.,,Canada,N
Air Sunshine,,United States,Y
ATMA,,Kazakhstan,N
Aerolineas Medellin,,Colombia,N
Ameriflight,,United States,N
Air Libert,VD,France,Y
Air Lithuania,TT,Lithuania,N
Air Minas Linhas A,,Brazil,N
Alan Mann Helicopters Ltd.,,United Kingdom,N
Air Maldives,,Maldives,N
Aviation Amos,,Canada,N
Amerer Air,,Austria,N
Air Malawi,QM,Malawi,Y
Aeroputul International Marculesti,,Moldova,N
Air Montenegro,,Montenegro,N
Air Montreal (Air Holdings Inc.),,Canada,N
Aero Transporte S.A. (ATSA),,Peru,N
Aeromedicare Ltd.,,United Kingdom,N
Air Sicilia,BM,Italy,Y
Air Specialties Corporation,,United States,N
Air Muskoka,,Canada,N
ATA Airlines,,United States,Y
Air Macau,NX,Macao,Y
AMC Airlines,,Egypt,Y
Air Midwest,ZV,United States,N
Air Seychelles,HM,Seychelles,Y
Air Sofia,,Bulgaria,N
AeroMéxico,AM,Mexico,Y
Air Ambar,,Dominican Republic,N
Amiya Airline,,Nigeria,N
All Nippon Airways,NH,Japan,Y
Air Navigation And Trading Co. Ltd.,,United Kingdom,N
Anglo Cargo,,United Kingdom,N
Air Nostrum,YW,Spain,Y
Air Niugini,PX,Papua New Guinea,Y
Air Arabia,G9,United Arab Emirates,Y
Air Canada,AC,Canada,Y
Airport Bratsk,,Russia,N
Air Wings,,Moldova,N
Air Baltic,BT,Latvia,Y
Alajnihah for Air Transport,,Libya,N
Air Atlantic (Nig) Limited,,Nigeria,N
Air Nippon,EL,Japan,Y
Antares Airtransport,,ANTARES,N
Airnorth,TL,Australia,Y
Aerol,,Colombia,N
Andes Lineas Aereas,,Argentina,N
Air North Charter - Canada,4N,Canada,Y
Air Nevada,,United States,N
AOM French Airlines,IW,France,N
Aviacion Del Noroeste,,AVINOR,N
Air New Zealand,NZ,New Zealand,Y
Avia Jaynar,,Kazakhstan,N
Aero Servicios Empresariales,,Mexico,N
Alcon Servicios Aereos,,ALCON,N
AVCOM,J6,Russia,N
Aero Vodochody,,Czech Republic,N
Air One Executive,,Italy,N
Atair Pty Ltd.,,South Africa,N
Aero VIP,2D,Argentina,N
Aeromundo Ejecutivo,,Mexico,N
Aerolinea Muri,,Mexico,N
Astoria,,ASTORIA,N
Aero Rent JSC,,Russia,N
Aeronord-Grup,,Moldova,N
Aeroatlantico Colombia,,Colombia,N
Angkor Airlines,,Cambodia,N
Aero Entreprise,,France,N
As,,COMPANY AS,N
Aeropiloto,,Portugal,N
Aeroenlaces Nacionales,,Mexico,N
Aerovis Airlines,,Ukraine,N
Avjet International (FZE),,United Arab Emirates,N
Aerovista Gulf Express,,United Arab Emirates,N
Air Vegas,6V,United States,N
Almaver,,Mexico,N
Afro International Ent. Limited,,Nigeria,N
Alitalia Express,XM,Italy,Y
Asia Overnight Express,OE,Philippines,N
Air Tractor,,Croatia,N
Aero Vision,,France,N
Aerotaxi Del Valle,,Colombia,N
Air Park Aviation Ltd.,,Canada,N
Airpac Airlines,,AIRPAC,N
Aeroservicios Monterrey,,Mexico,N
Amapola Flyg AB,,Sweden,N
Air People International,,Thailand,N
Alpha Aviation,,AIRFLIGHT,N
ASA Pesada,,ASA PESADA,N
Air Print,,AIR PRINT,N
Atlantic Airlines,,United States,N
Aerotransporte Petrolero,,Colombia,N
Aero Flight,GV,Germany,Y
ACM Aviation,,United States,N
Aircompany Barcol,,Russia,N
All Charter Limited,,United Kingdom,N
Appalachian Flying Service,,APPALACHIAN,N
Airpac,,ALASKA PACIFIC,N
Aeropro,,Canada,N
Aerolineas Pacifico Atlantico,,AEROPERLAS,N
Aspen Aviation,,United States,N
Aeropuma,,AEROPUMA,N
Air Plan International,,Democratic Republic of the Congo,N
Arrow Air,JW,United States,Y
Apex Air Cargo,,United States,N
APA Internacional,,Dominican Republic,N
Aeroatlas,,ATCO,N
Aquila Air Ltd.,,Canada,N
Air Queensland,,Australia,N
Aluminum Company Of America,,United States,N
Aviones de Renta de Quintana Roo,,AVIOQUINTANA,N
AirQuarius Aviation,,South Africa,N
Aerodyne Charter Company,,United States,N
Arik Air,W3,Nigeria,N
Avia Air N.V.,,Aruba,N
Air Routing International Corp.,,United States,N
Aerocondor,2B,Portugal,Y
Aires,4C, S.A.,Y
Aerolineas Argentinas,AR,Argentina,Y
Arrowhead Airways,,United States,N
Aero Vics,,Mexico,N
Aerojet de Costa Rica,,,N
Antillana De Navegacion Aerea,,Dominican Republic,N
Aeroservicios De San Luis,,Mexico,N
Aerosuper,,Mexico,N
Aero Link Air Services S.L.,,Spain,N
Airlec - Air Aquitaine Transport,,France,N
Aeromarket Express,,Spain,N
Arrow Aviation Ltd.,,Canada,N
RPA-Aviataxi Ltd.,,Russia,N
Air Klaipeda,,Lithuania,N
Armstrong Air,,ARMSTRONG,N
Air Armenia,QN,Armenia,N
Aeromet Servicios,,Chile,N
Aerotal Aerolineas Territoriales de Colombia Ltda,,Colombia,N
Aravco Ltd.,,United Kingdom,N
Aria,,France,N
Air Xpress,,AIREX,N
Airline Alania,,Russia,N
Air Tchad,,Chad,N
Aerloineas de Techuacan,,Mexico,N
Aerotransportes Huitzilin,,Mexico,N
Aero Transportes Del Humaya,,Mexico,N
Argosy Airways,,United States,N
Air Resorts,,United States,N
Alaska Airlines,AS,ALASKA,Y
Air-Spray 1967 Ltd.,,Canada,N
Air Star Corporation,,Canada,N
Air Sinai,4D,Egypt,Y
Airstars,PL,Russia,N
Air Schefferville,,SCHEFF,N
African Star Airways (PTY) Ltd.,,South Africa,N
Aerosun International,,AEROSUN,N
Air Satellite,,Canada,N
Awesome Flight Services (PTY) Ltd.,,South Africa,N
Air and Sea Transport,,Russia,N
Aero Slovakia,,Slovakia,N
